gene_id,base_mean,log2_fold_change,lfc_se,stat,pvalue,padj,zero_inflated,converged
gene_1,19.257907936173826,-0.2719881245730797,2.8382468929924007,0.09582962118081245,0.9236558913164354,0.9765493748112867,false,true
gene_2,359.9536144369685,4.788110434185193,2.2598431500756315,2.118779984365263,0.03410906505865935,0.16430672304752272,false,true
gene_3,645.160857087048,7.938072164325151,2.139855093375131,3.7096307076591155,0.00020756177951269987,0.010132788690756348,false,true
gene_4,53.26366966781852,6.140282561927759,2.887572689203047,2.126451252599442,NA,NA,false,true
gene_5,215.9162870476353,1.9001621892751752,2.830062077080745,0.6714206747136879,0.5019525777917907,0.7944853244281452,false,true
gene_6,245.12087340817416,1.6933447319939945,2.829884677659859,0.5983794129004177,0.5495867992718766,0.8198003089138826,false,true
gene_7,31.966939485618877,-0.026509491827858445,2.677477591422846,0.009900920146924912,0.9921003377422087,0.9921003377422087,false,true
gene_8,24.19818079450556,-0.4424428461638146,2.838275794766134,0.15588437423159948,0.8761241622894144,0.9601605615294194,false,true
gene_9,82.35620539606433,1.7769692179793886,2.8307631102063446,0.6277350483947274,0.5301775214511664,0.815968767174849,false,true
gene_10,300.8405067414843,-0.8788204744422076,2.7632017161506743,0.3180442706392292,0.7504513558803436,0.930698332812343,false,true
gene_11,179.78900869389705,0.5664142670503588,2.6417251770728565,0.21441074641911456,0.8302267620960128,0.9452230842586148,false,true
gene_12,118.1653296742721,7.601418912812942,2.377280706355287,3.1975268602028115,0.0013861150165765622,0.03101432349590058,false,true
gene_13,929.7582270097328,3.1780298006598375,1.7082082904521607,1.860446304132277,0.06282240870501617,0.23757488362389917,false,true
gene_14,159.40160208065942,0.42182016130941147,2.6668119446814758,0.1581739432923508,NA,NA,false,true
gene_15,684.0778777695127,3.1591033412398897,2.06813448318079,1.5275134992097754,0.1266333730611919,0.3675790342370814,false,true
gene_16,455.1181008747958,2.3178027557638448,2.208653464905743,1.0494189299464232,0.2939853495077933,0.6131752244178372,false,true
gene_17,22.575051834380172,3.441054500517612,1.8374038898361391,1.8727806768845403,0.06109867735432065,0.2358511913263694,false,true
gene_18,13.212615653782146,0.8088991044884651,2.84162933946495,0.28466031556415894,0.7759043968392987,0.9363160923656256,false,true
gene_19,281.7825943102747,-0.2313897498706484,2.8294419470001775,0.0817792887095534,NA,NA,false,true
gene_20,156.63854574423786,9.145844036682384,2.8018010255932904,3.2642732132435146,0.0010974528214142767,0.02761098491802128,false,true
gene_21,18.145181209053504,-0.9663763563025832,2.8390256741223667,0.3403901433900632,0.7335627404514943,0.9226859332670282,false,true
gene_22,34.922116755011665,0.6130904149322557,2.697823992950215,0.22725367427020637,0.8202264932675194,0.9452230842586148,false,true
gene_23,354.9899035090099,5.761735736459222,1.8596076447760281,3.098360964822323,0.0019459425363786448,0.03388947057951269,false,true
gene_24,7.05247626921398,2.2392842583552564,2.8660059687158697,0.7813257483753882,NA,NA,false,true
gene_25,29.651872838075462,6.392632292535965,2.3729358748990936,2.6939759983222493,0.00706052488821132,0.07018690771566137,false,true
gene_26,105.27719027711142,-0.6120302555311421,2.737589168782181,0.22356541387231027,NA,NA,false,true
gene_27,106.04290333708536,-1.5292144344695335,2.8295056085599724,0.5404528727008958,0.5888847533084951,0.8383783633749502,false,true
gene_28,294.27253092827794,-0.686418849455706,2.829367774764758,0.24260502843706025,NA,NA,false,true
gene_29,44.182915449774335,2.0449186039958867,2.836797103518407,0.7208547278406433,0.4709988994338135,0.7752396258935769,false,true
gene_30,77.1078187803266,1.7642247224510332,2.7870341367574007,0.6330115226014548,0.5267261184356891,0.815968767174849,false,true
gene_31,295.5007183406581,0.39973493795080245,2.2149596287469864,0.1804705299197415,0.8567831882399413,0.9525726130121087,false,true
gene_32,312.1992564198693,4.527396351976596,2.6236183384159286,1.7256307008092182,0.08441387248848448,0.2962761406948769,false,true
gene_33,127.44063377901458,4.522119169880865,2.836046430454954,1.5945152100896436,0.1108206867761086,0.3438504478312835,false,true
gene_34,69.82457658879059,-9.71221288628691,2.8027994312771236,2.950448632732843,NA,NA,false,true
gene_35,10.696942465297884,0.684398657397218,2.4613784506628424,0.2780550293730374,0.7809701162836326,NA,false,true
gene_36,324.4001079926275,0.4961284380778377,2.7334280538519784,0.1815041143587766,0.8559719039974132,0.9525726130121087,false,true
gene_37,107.17334313524562,4.805544926127124,2.3912978875944235,2.009596943591734,0.044473865009979685,0.1865817617996804,false,true
gene_38,425.87154400515857,8.225621156725463,2.848331132049237,2.887873907696794,NA,NA,false,true
gene_39,205.988710457403,3.13705725286663,2.3073043032353313,1.3596200763236164,0.17395018164506842,0.44270733432891823,false,true
gene_40,138.95463320860486,-5.711301102059445,2.841149386697581,2.0102079562588555,0.044409183689099255,0.1865817617996804,false,true
gene_41,162.5880414800457,-7.788190953940943,2.32929398965357,3.3435843601259023,0.0008270354457262682,0.02337463338710558,false,true
gene_42,265.1998906711222,6.557225635033442,2.3893409336853555,2.7443658385408725,0.006062793062167585,0.06511439748767986,false,true
gene_43,169.28440489362737,1.065684286769574,2.348689126364418,0.4537357774628811,0.650019012749819,0.8792448610746922,false,true
gene_44,203.37714176255284,-4.240884162787995,2.259813597146777,1.8766522018198766,0.06056577772040756,0.23567987417289032,false,true
gene_45,187.70425821037912,1.5058747707024769,2.8299317849240997,0.5321240528569368,0.5946400793913118,0.8415779573924438,false,true
gene_46,443.0000147867304,1.5516599962862814,1.9760512517430924,0.7852326678862951,0.43231716516762075,0.7393449608121412,false,true
gene_47,145.01961960015268,-3.4942578318318485,2.347655211257964,1.4884033290218501,0.13664455919263035,0.3801975558883031,false,true
gene_48,50.95046193905107,0.2747872072998725,2.8354785834200826,0.09691034483795363,NA,NA,false,true
gene_49,585.5919222219627,5.713105942383322,2.5960375548958496,2.200702347933686,0.02775710249588097,0.14815484914124039,false,true
gene_50,169.45767703413236,5.942901389605575,2.732629495720969,2.1747922281127314,0.029645689762669538,0.14953519682917754,false,true
gene_51,10.938079360520385,6.750601970091675,2.6256216993413948,2.021580284413086,0.04321973054958828,NA,false,true
gene_52,224.21027611915693,1.2826048822030005,2.8298234989041555,0.45324554082602225,NA,NA,false,true
gene_53,78.40682842577104,-5.890827387440063,2.854691158255661,2.0635603155893096,NA,NA,false,true
gene_54,86.43465513892701,-8.575659545038764,2.9658974092790027,2.8914215030530914,0.0038350338336271463,0.05022958947945799,false,true
gene_55,98.69585401596298,-6.110988604914057,1.877018606151538,3.2556888806997244,0.0011311762908686558,0.02761098491802128,false,true
gene_56,37.471532636403516,2.440812029851197,2.8386311083373976,0.8598553093715633,0.38986880622067077,0.7042711794699282,false,true
gene_57,48.704553929700054,-6.095226215243705,2.5928447073749123,2.35078722528459,NA,NA,false,true
gene_58,17.12450046957918,1.4464298986346757,2.8415309571961846,0.5090318987979308,NA,NA,false,true
gene_59,4.482836829147385,-0.229297964646812,2.0256230275323057,0.11319873516947122,0.9098729984119625,NA,false,true
gene_60,14.095640630379886,-5.2085545342976385,2.921055339654973,1.7831071063901371,NA,NA,false,true
gene_61,19.98402494555224,-1.0998286362709968,2.838880040646789,0.38741638270154594,NA,NA,false,true
gene_62,3.2796531876318396,0.11641832759243205,2.870865979655681,0.04055164135749547,0.9676533370226233,NA,false,true
gene_63,33.41010024300362,-3.675029972302209,2.846574573198123,1.2910359022048445,NA,NA,false,true
gene_64,28.43426925144646,-8.415754664902453,2.4191124489803038,2.882486135858194,0.003945504982641147,0.050446099420911814,false,true
gene_65,0.7067637904959427,1.1645978527973513,1.201759302163922,0.9690774606032533,0.3325065425285566,NA,false,true
gene_66,169.96190504696648,8.639038198474543,2.0772286780974607,4.158924960725586,3.197489117027614e-5,0.003434103311687657,false,true
